kepsek,operator,akreditasi,kurikulum,waktu,nama_sekolah,sekolah_id,npsn,status,bentuk_pendidikan,status_kepemilikan,sk_pendirian_sekolah,tanggal_sk_pendirian,sk_izin_operasional,tanggal_sk_izin_operasional,kebutuhan_khusus,nama_bank,kcp,nama_di_rek,status_bos,waku_penyelenggaraan,sertifikasi_iso,sumber_listrik,daya_listri,akses_internet,alamat,dusun,desa_kelurahan,kecamatan,kabupaten,provinsi,kode_pos,lintang,bujur,rt,rw
Joni Pranotokusumo,Cahyono,C,Kurikulum 2013,-,SMKS BENTENG GADING JAKARTA,B8B2944F12F092412B21,20101597,Swasta,SMK,Yayasan,006/101.A1/II/95,1995-02-13,006/101.A1/II/95,1995-02-13,Tidak ada,BPD DKI...,BPD DKI CABANG PORIS...,SMKBENTENGGADING...,Bersedia Menerima,-,Belum Bersertifikat,PLN,3300,Tidak Ada,"JL. BOUGENVILLE NO. 50,KAMAL",Kp Belakang,Kamal,Kec. Kali Deres,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11810,-6,106,9,3
Durotun,RUSMIYATI,B,Kurikulum 2013,Sehari penuh (5 h/m),TK KHADIJATUL KUBRO,C87380A73948AC73956F,69857155,Swasta,TK,Yayasan,,,353,,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69857155 TK KHADIJATUL KUBRO BOPP,Bersedia Menerima,Sehari penuh (5 h/m),Belum Bersertifikat,PLN,1300,100 Mb,JL.KALIBARU TIMUR NO 3 RT 005/03,,KALI BARU,Kec. Cilincing,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14110,-6,106,5,3
Muhammad Nadjmuddin,Imam Hanafi,B,Kurikulum 2013,-,SMP ISLAM AL ISRA,F15776B047BAA34E72B8,20106804,Swasta,SMP,Yayasan,20/SK/ISRA/III/90,1990-03-01,11159/-1.851.58,2014-10-31,C - Tuna grahita ringan,BPD DKI...,BPD DKI CABANG BENDUNGAN HILIR...,SMPISLAMAL-ISRA...,Bersedia Menerima,-,Belum Bersertifikat,PLN & Diesel,16700,30 Mb,Jl. Tanjung Duren Raya,,Tanjung Duren Utara,Kec. Grogol Petamburan,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11470,-6,106,7,5
Sariman,Upik Lestari,B,Kurikulum 2013,-,TK BUDI AGUNG,BD58500F5538394559AE,20110625,Swasta,TK,Yayasan,003/1.2.1/31.72.01/1.851.192/2015,2015-04-20,003/1.2.1/31.72.01/1.851.192/2015,2015-04-20,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,20110625 TK BUDI AGUNG BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,2200,30 Mb,Terusan Bandengan Utara No.95 Blok F No.3-12,0,Pejagalan,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14450,-6,106,3,16
Sri Lestari,AJie Putra,C,Kurikulum 2013,-,SMKS CENGKARENG JAKARTA,FF7CF362F7EF541BE0E8,20101665,Swasta,SMK,Yayasan,,,-,,Tidak ada,BRI,Poris,Sri Lestari,Bersedia Menerima,-,Belum Bersertifikat,PLN,0,Tidak Ada,JL. PETA SELATAN NO.53,-,Kalideres,Kec. Kali Deres,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11840,-6,106,1,3
,,,,-,TK KRISTEN DAMAI,A63C22DD5086B6923B67,69857125,Swasta,TK,Yayasan,,,NOMOR:682TAHUN 2013,,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69857125 TK KRISTEN DAMAI BOPP,-,-,-,-,,,JL. KELAPA DUA NO. 7 RT014 RW03,CILINCING,CILINCING,Kec. Cilincing,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14120,0,0,14,3
Mohammad Faqih,Apriyan Sukma,A,Kurikulum 2013,Pagi,SMP ISLAM ASSAADATUL ABADIYAH,69E780F5C846CDDD9964,20109071,Swasta,SMP,Yayasan,60-XI-1992,1974-01-01,12435/-1.851.58,2014-12-09,Tidak ada,Bank DKI,BENHIL,SMP Isam Assa'adatul Abadiyah,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,13000,50 Mb,Jl. Tanjung Duren Utara NO.22,,Tanjung Duren Utara,Kec. Grogol Petamburan,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11470,-6,106,15,7
Tertius,Herlin Sampe Labi,B,Kurikulum 2013,-,TK KRISTEN HARAPAN BAGI BANGSA,354382715CFE73E21C4B,69985900,Swasta,TK,Yayasan,C-901.HT.01.02.TH 2006,2006-05-05,1/A.1/31.72.04.1005/-1.851.192/e/2019,2019-02-27,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,69985900 TK KRISTEN HBB BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,33000,20 Mb,Jl. Kebantenan I No. 10 Rt. 002 / Rw. 005,,Semper Timur,Kec. Cilincing,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14130,0,0,2,5
EVIE ADELINA,Vera Apriliana,,Kurikulum 2013,-,TK BUNGA HATI BANGSA,62F69033AC7408E85138,20110627,Swasta,TK,Yayasan,1540 Tahun 2013,2013-09-30,1540 Tahun 2013,2013-09-30,Tidak ada,BPD DKI,KL Dinas Pendidikan Provinsi. DKI Jakarta,20110627 TK BUNGA HATI BANGSA BOPP,Bersedia Menerima,-,Belum Bersertifikat,PLN,330,300 Mb,Jl. Vila Kapuk Indah Blok G. 1-4,Villa Kapuk Indah,Kapuk Muara,Kec. Penjaringan,Kota Jakarta Utara,Prov. D.K.I. Jakarta,14450,0,0,0,0
Megasari Tri Utami,LISDAYANTI,B,Kurikulum 2013,Pagi,SMKS CITRA UTAMA,283E52D4E82C93393E8A,69774556,Swasta,SMK,Yayasan,05.-,2011-07-11,7327/-1.851.78,2014-07-11,Tidak ada,DKI,Walikota Jakarta Barat,SMK Citra Utama,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,20000,500 Mb,JL. LINGKUNGAN III RT 006/03,,Tegal Alur,Kec. Kali Deres,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11820,-6,106,3,6
Friska Minora S.,Maria Margaretha Sihombing,A,Kurikulum 2013,-,SMP KRISTEN ALMA SIH,9444B301FEFBABFED44D,20106736,Swasta,SMP,Yayasan,24h/101.A1/1998,1998-04-14,1683/1.851.58,2008-04-25,Tidak ada,nama_bank,cabang,SMP Kristen Almasih,Tidak Bersedia Menrima,-,Belum Bersertifikat,PLN & Diesel,10000,50 Mb,Jl. Kusuma V Blok E1 No. 1 Taman Duta Mas,WIJAYA KUSUMA,Wijaya Kusuma,Kec. Grogol Petamburan,Kota Jakarta Barat,Prov. D.K.I. Jakarta,11460,-6,106,5,9
