kepsek,operator,akreditasi,kurikulum,waktu,nama_sekolah,sekolah_id,npsn,status,bentuk_pendidikan,status_kepemilikan,sk_pendirian_sekolah,tanggal_sk_pendirian,sk_izin_operasional,tanggal_sk_izin_operasional,kebutuhan_khusus,nama_bank,kcp,nama_di_rek,status_bos,waku_penyelenggaraan,sertifikasi_iso,sumber_listrik,daya_listri,akses_internet,alamat,dusun,desa_kelurahan,kecamatan,kabupaten,provinsi,kode_pos,lintang,bujur,rt,rw
SUMARNI,Indah Rahayu Kusuma Wardani,B,Kurikulum 2013,-,KB ABIYASA BOTOKAN,F5CCB8C26335FE1EEBC2,69839714,Swasta,KB,Lainnya,15 TAHUN 2013,2013-02-15,15 TAHUN 2013,2013-02-15,"B,C,F,H,J,K,P",BPD YOGYAKARTA,BANK BPD DIY CAPEM LENDAH,69839714 KB ABIYASA BOTOKAN,Bersedia Menerima,-,Belum Bersertifikat,PLN,898,Tidak Ada,BOTOKAN RT 09,BOTOKAN,Jatirejo,Kec. Lendah,Kab. Kulon Progo,Prov. D.I. Yogyakarta,55663,-7,110,9,
Mulyono,Firdaus,A,Kurikulum 2013,-,SMPS IT AL IBRAH,F0A174EEFA56DC9AAE9A,69755228,Swasta,SMP,Yayasan,421.3/4946/437.53.2/2012,2012-08-01,503.66/109/437.74/2021,2021-03-04,Tidak ada,BANK JATIM,Cabang Gresik,SMP IT Al Ibrah Gresik,Bersedia Menerima,-,Belum Bersertifikat,PLN,320000,300 Mb,"JL. KNG. BROTONEGORO TIMUR YOSOWILANGUN , MANYAR",Yosowilangun,Yosowilangun,Kec. Manyar,Kab. Gresik,Prov. Jawa Timur,61151,-7,112,0,0
DWI SULISTYOWATI,ANISA EKA WULANDARI,C,Kurikulum 2013,Pagi,TK ASY - SYAFI IYAH,CDD79824DF7EDBAA500B,69811231,Swasta,TK,Yayasan,503.2.19/08/437.74/2020,2018-10-31,503.2.19/08/437.74/2020,2018-10-31,Tidak ada,BPD JAWA TIMUR,CAPEM MENGANTI,69811231 TK ASY   SYAFI IYAH,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,900,3 Mb,Desa Kepatihan RT. 03 RW. 01 No.55,KEPATIHAN,Kepatihan,Kec. Menganti,Kab. Gresik,Prov. Jawa Timur,61174,-7,112,3,1
"Hertri Novia Puspaningsih ,S.Psi",HERTRI NOVIA PUSPANINGSIH,A,Kurikulum 2013,-,TK BUMI WARTA,43E57D7D5468D9C8D3E3,20409309,Swasta,TK,Yayasan,0997/H/1986,1986-11-04,0997/H/1986,1986-11-04,Tidak ada,BPD YOGYAKARTA,SENOPATI,20409309 TK BUMI WARTA,Bersedia Menerima,-,Belum Bersertifikat,PLN,900,30 Mb,PAKEL BARU NO. 32,Sorosutan,Sorosutan,Kec. Umbulharjo,Kota Yogyakarta,Prov. D.I. Yogyakarta,55162,-7,110,27,8
KUNTI ARIFAH,Isrini,B,Kurikulum 2013,-,KB AISYIYAH QURRATA AYUN,D1D0E44A1648C9100FC9,69839713,Swasta,KB,Yayasan,046/PWA/D/KB/IV/2007,2007-04-23,421.9/1106,2007-05-21,Tidak ada,BPD YOGYAKARTA,BANK BPD DIY CAPEM LENDAH,69839713 KB AISYIYAH QURRATA AYUN,Bersedia Menerima,-,Belum Bersertifikat,PLN,450,3 Mb,SEMPU,SEMPU,Bumirejo,Kec. Lendah,Kab. Kulon Progo,Prov. D.I. Yogyakarta,55663,-7,110,70,32
Dian Kartikowati,"AHMAD FARID, SE",A,Kurikulum 2013,-,SMAN 1 MANYAR,FE34D2FD08E640DE7212,20500477,Negeri,SMA,Pemerintah Pusat,0887/0/1986,1986-12-22,0887/0/1986,1986-12-22,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG GRESIK...,BOSSMANEGERI1MANYAR...,Bersedia Menerima,-,9001:2008,PLN,17000,100 Mb,JL. KAYU RAYA PONGANGAN INDAH MANYAR GRESIK,Pedukuhan,Suci,Kec. Manyar,Kab. Gresik,Prov. Jawa Timur,61151,-7,112,0,0
SITI ANISAH,Siti Anisah,B,Kurikulum 2013,-,TK AZ ZAHRO,E4B89E0D23CD3FF04820,20573170,Swasta,TK,Yayasan,01/TK AZ/V/2007,2007-05-20,503.2.19/23/437.74/2019,2019-04-10,Tidak ada,BPD JAWA TIMUR,CAPEM MENGANTI,20573170 TK AZ ZAHRO,Bersedia Menerima,-,Belum Bersertifikat,PLN,2200,500 Mb,Jl. Perintis Bendil RT 002 RW 006,BENDIL,Kepatihan,Kec. Menganti,Kab. Gresik,Prov. Jawa Timur,61174,-7,112,2,6
BAROKAH DESIYANTI,SHAFIRA DESGA SAPUTRO,A,Kurikulum 2013,-,TK FAWWAZ GIS YOGYAKARTA,30117A8F4BFA742327D3,69942557,Swasta,TK,Yayasan,Pemerintah Kota,2015-06-19,Pemerintah Kota,2015-06-19,Tidak ada,BPD DIY,SENOPATI,TK FAWWAZ GIS YOGYAKARTA,Bersedia Menerima,-,Belum Bersertifikat,PLN,1299,50 Mb,Jl. Ipda Tut Harsono No. 45 Yogyakarta,TIMOHO,Muja Muju,Kec. Umbulharjo,Kota Yogyakarta,Prov. D.I. Yogyakarta,55165,-7,110,,
NGATIYAH,Ami Nurwanti,B,Kurikulum 2013,-,KB AISYIYAH TUNAS MELATI,0CB25891C86F9C2BA1E2,69839705,Swasta,KB,Yayasan,039/PWA/D/KB/IV/2007,2007-05-02,421.9/1105,2007-05-21,Tidak ada,BPD YOGYAKARTA,BANK BPD DIY CAPEM LENDAH,69839705 KB AISYIYAH TUNAS MELATI,Bersedia Menerima,-,Belum Bersertifikat,-,450,Tidak Ada,BULU,Bulu,Wahyuharjo,Kec. Lendah,Kab. Kulon Progo,Prov. D.I. Yogyakarta,55663,-7,110,1,1
Ulyatun Nikmah,MUHAMMAD MIFTAH,A,Kurikulum 2013,Sehari penuh (5 h/m),SMA MUHAMMADIYAH 10 GKB GRESIK,CDBD8407032852F7CCF8,69946189,Swasta,SMA,Yayasan,421.5/1754/437.53.3/2015,2015-12-31,23/18.01.10/02/III/2023,2023-03-21,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG GRESIK...,SMAMUHAMMADIYAH10GKBGRESIK...,Bersedia Menerima,Sehari penuh (5 h/m),Proses Sertifikasi,PLN,131000,Telkom Astinet,Jl. Raya Mutiara No. 95 Perum PPS GSK,Suci,Suci,Kec. Manyar,Kab. Gresik,Prov. Jawa Timur,61151,-7,112,10,21
"Siti Alfiyah, S.Ag","SITI ALFIYAH, S.Ag",C,Kurikulum 2013,-,TK BAITUSSYAKUR,34F2C1FE93C1CAB7DA36,20574120,Swasta,TK,Yayasan,001/YMB/VII/2009,2009-07-09,503.2.34/16/437.74/2017,2017-02-08,Tidak ada,BPD JAWA TIMUR,CAPEM MENGANTI,20574120 TK BAITUSSYAKUR,Bersedia Menerima,-,Proses Sertifikasi,PLN,1200,300 Mb,Jl. Raya Menganti RT 024 RW 008 Dusun Karangturi,KARANGTURI,Menganti,Kec. Menganti,Kab. Gresik,Prov. Jawa Timur,61174,-7,112,24,8
Rismiati,Rismiati,B,Kurikulum 2013,-,TK ISLAM PELANGI ANAK,6D52EAB5FADDF085047A,20409334,Swasta,TK,Yayasan,188/860,2004-03-25,220043,2022-03-21,Tidak ada,Bank BPD,Senopati,TK Islam Pelangi Anak,Tidak Bersedia Menrima,-,Belum Bersertifikat,PLN,1300,150 Mb,JL. IMOGIRI TIMUR NO 192 UMBULHARJO YOGYAKARTA,Semaki,Giwangan,Kec. Umbulharjo,Kota Yogyakarta,Prov. D.I. Yogyakarta,55661,-7,110,33,9
Ma'rifah,Shofia Kusnofia,A,Kurikulum 2013,Pagi,SMAS YASMU,80FB6D484D24636B5A5C,20500465,Swasta,SMA,Yayasan,1133/104.7.4/1984,1984-08-06,421.3/1351.2/101.2/2017,2017-03-01,Tidak ada,BANK JATIM,GRESIK,SMAS YASMU,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,6600,100 Mb,JL. KYAI SAHLAN I NO. 24,MANYAREJO,Manyarejo,Kec. Manyar,Kab. Gresik,Prov. Jawa Timur,61151,-7,112,1,2
NURUL RACHMAWATI,Risma,B,Kurikulum 2013,-,TK BUDI UTOMO,EB21D6D6E6EEAF258DB0,20573173,Swasta,TK,Yayasan,421.9/661/437.53.4/2010,2010-06-30,503.2.34/12/437.74/2017,2016-09-13,Tidak ada,BPD JAWA TIMUR,CAPEM MENGANTI,20573173 TK BUDI UTOMO,Bersedia Menerima,-,Belum Bersertifikat,PLN,11000,50 Mb,PURI SAFIRA REGENCY BLOK B4 /12B -14 MENGANTI GRESIK,karang turi,Pranti,Kec. Menganti,Kab. Gresik,Prov. Jawa Timur,61174,-7,112,24,8
"SUTINI, S.Ag , S.Pd AUD",Rasmani,A,Kurikulum 2013,-,KB AISYIYAH TUNAS MULIA,A46051B8586D77DF8BDB,69839726,Swasta,KB,Yayasan,35,2010-04-19,421.9/1099,2007-05-21,Tidak ada,BPD YOGYAKARTA,BANK BPD DIY CAPEM LENDAH,69839726 KB AISYIYAH TUNAS MULIA,Bersedia Menerima,-,Belum Bersertifikat,PLN,450,Tidak Ada,NGLATIYAN II,NGLATIYAN II,Ngentakrejo,Kec. Lendah,Kab. Kulon Progo,Prov. D.I. Yogyakarta,55663,0,0,8,3
ISTI RATNANINGSIH,ISTI RATNANINGSIH,B,Kurikulum 2013,Sehari penuh (5 h/m),TK ISLAM PELANGI ANAK NEGERI YOGYAKARTA,06A06A6F67915D9CA947,69924858,Swasta,TK,Yayasan,002/UH/2014,2014-03-10,002/UH/2014,2014-03-10,"H,K,P",BRI,PANDEYAN,YAYASAN PELANGI ANAK NEGRI,Tidak Bersedia Menrima,Sehari penuh (5 h/m),Belum Bersertifikat,PLN,4400,50 Mb,Jl. Sorosutan No. 25B,,Sorosutan,Kec. Umbulharjo,Kota Yogyakarta,Prov. D.I. Yogyakarta,55162,-7,110,16,5
RATNAWATI,Yuniar Agung Dermawan,,Kurikulum 2013,-,TK CHALIDANA ISLAMIC SCHOOL,52E2467D632C10A29629,70026644,Swasta,TK,Yayasan,503.9.1/05/437.74/2022,2022-02-10,503.9.1/05/437.74/2022,2022-02-10,Tidak ada,BPD JAWA TIMUR,CAPEM MENGANTI,70026644 TK CHALIDANA ISLAMIC,Bersedia Menerima,-,Belum Bersertifikat,PLN,5000,30 Mb,Puri Safira Regency Blok C01 - 04,,Menganti,Kec. Menganti,Kab. Gresik,Prov. Jawa Timur,,0,0,,
"Ubaidillah, S.t","Haris Hidayat, S.Pd",B,Kurikulum 2013,Pagi,SMK ISLAMIC QON,5F2DEEF7D99DB4AFE760,69858461,Swasta,SMK,Yayasan,421.5/670/403.54/2014,2014-07-02,43/18.02.05/02/IV/2023,2023-04-04,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG  GRESIK...,SMKSISLAMICQON...,Bersedia Menerima,Pagi,Belum Bersertifikat,PLN,23000,300 Mb,JL. RANTAU GG. MASJID NO. 1 GKB,Sukomulyo,Sukomulyo,Kec. Manyar,Kab. Gresik,Prov. Jawa Timur,61151,-7,112,5,9
DWI WIJAYATI,Nur Wahyuli,B,Kurikulum 2013,-,TK ISLAM PLUS AL IKHLASH,1D011E96E861AE71FBBE,20409863,Swasta,TK,Yayasan,002/UH/2015,2015-03-03,220055,2022-04-13,Tidak ada,BPD YOGYAKARTA,SENOPATI,20409863 TK ISLAM PLUS AL IKHLASH,Bersedia Menerima,-,Belum Bersertifikat,PLN,1300,30 Mb,Kompleks Masjid Al Ikhlash Mrican UH VII/360,Mrican,Giwangan,Kec. Umbulharjo,Kota Yogyakarta,Prov. D.I. Yogyakarta,55163,-7,110,23,8
JUMINTEN,Sariyem,Terakreditasi,Kurikulum 2013,-,KB BINA CENDEKIA,8628AF46A7B56DCCB0D4,69839715,Swasta,KB,Yayasan,03 TAHUN 2008,2008-01-15,421.9/1330,2008-05-24,Tidak ada,BPD YOGYAKARTA,BANK BPD DIY CAPEM LENDAH,69839715 KB BINA CENDEKIA,Bersedia Menerima,-,Belum Bersertifikat,PLN,450,30 Mb,BONOSORO,Bonosoro,Jatirejo,Kec. Lendah,Kab. Kulon Progo,Prov. D.I. Yogyakarta,55663,-7,110,45,
Jalal,Rahmat Tsani,B,Kurikulum 2013,Sehari penuh (5 h/m),SMK NURUL ISLAM,8E49AB10CF90DA50B2E6,69902538,Swasta,SMK,Yayasan,AHU-4950.AH.01.04.Tahun 2012,2012-08-02,295/18.02.05/02/VIII/2023,2023-07-14,Tidak ada,BPD JAWA TIMUR...,BPD JAWA TIMUR CABANG GRESIK...,SMKSNURULISLAM...,Bersedia Menerima,Sehari penuh (5 h/m),Belum Bersertifikat,PLN,33000,150 Mb,Jl. KH. Syafii No. 21 Sukomulyo Manyar,Sukomulyo,Sukomulyo,Kec. Manyar,Kab. Gresik,Prov. Jawa Timur,61151,-7,112,0,0
NUR HASANA tABONA,Yeny Fatmawati,,Kurikulum 2013,-,TK DELFIN,68C94C227396434DF6F9,70004096,Swasta,TK,Yayasan,503.2.19/40/437.74/2019,2020-05-07,503.2.19/40/437.74/2019,2020-05-07,Tidak ada,BPD JAWA TIMUR,CAPEM MENGANTI,70004096 TK DELFIN,Bersedia Menerima,-,Belum Bersertifikat,PLN,1300,30 Mb,Perumahan Golden Berry EB-20,Wonokoyo,Menganti,Kec. Menganti,Kab. Gresik,Prov. Jawa Timur,61174,0,0,,
YUYUN EVY HARTUTIK,Annisa Nur Widyastuti,A,Kurikulum 2013,Sehari penuh (5 h/m),TK ISLAM SAFA,B5253CA238D87BF519A6,69991347,Swasta,TK,Lainnya,53,2021-03-17,220061,2022-04-19,Tidak ada,BPD YOGYAKARTA,SENOPATI,69991347 TK ISLAM SAFA,Bersedia Menerima,Sehari penuh (5 h/m),Belum Bersertifikat,PLN,1300,20 Mb,Jl. Nitikan Baru No. 98,Dagaran,Sorosutan,Kec. Umbulharjo,Kota Yogyakarta,Prov. D.I. Yogyakarta,55162,-7,110,23,7
